epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5842.84,0.79843,1.86046,1.07171,0.58571,0.44283,0.52082,0.45566,0.61434,1.46131,0.95389,0.005842,0.005842,0.005842
44,5977.02,0.79933,1.86305,1.07123,0.60043,0.44984,0.5255,0.46095,0.60591,1.45172,0.9504,0.005743,0.005743,0.005743
45,6111.57,0.79859,1.83006,1.07008,0.60104,0.46279,0.53806,0.47098,0.60416,1.43404,0.94744,0.005644,0.005644,0.005644
46,6245.6,0.79216,1.80851,1.06822,0.56172,0.48907,0.53858,0.47263,0.60252,1.41295,0.9458,0.005545,0.005545,0.005545
47,6380.3,0.79129,1.7954,1.06622,0.61281,0.46727,0.54472,0.47873,0.60227,1.40567,0.9447,0.005446,0.005446,0.005446
48,6514.81,0.78853,1.78549,1.06627,0.61284,0.47967,0.55167,0.48506,0.60283,1.39278,0.94697,0.005347,0.005347,0.005347
49,6648.98,0.78602,1.75812,1.06368,0.5819,0.50337,0.56125,0.4961,0.59606,1.37616,0.94311,0.005248,0.005248,0.005248
50,6782.82,0.78235,1.73718,1.06011,0.59709,0.50212,0.56316,0.49755,0.59596,1.36465,0.94134,0.005149,0.005149,0.005149
51,6917.06,0.77783,1.73542,1.06151,0.61564,0.5077,0.56988,0.50253,0.59451,1.35367,0.93951,0.00505,0.00505,0.00505
52,7052.02,0.77605,1.71652,1.05801,0.58235,0.52228,0.5714,0.50353,0.59637,1.34345,0.94096,0.004951,0.004951,0.004951
53,7186.15,0.77259,1.69753,1.05849,0.60909,0.50212,0.5717,0.50333,0.59533,1.33592,0.93995,0.004852,0.004852,0.004852
54,7320.89,0.7672,1.67538,1.05245,0.62401,0.49059,0.57393,0.50555,0.59237,1.3307,0.9396,0.004753,0.004753,0.004753
55,7455.28,0.76405,1.66943,1.05409,0.60384,0.50367,0.5773,0.50997,0.59013,1.31921,0.93939,0.004654,0.004654,0.004654
56,7589.63,0.76385,1.65016,1.0516,0.55974,0.5304,0.58275,0.51514,0.58827,1.30768,0.93854,0.004555,0.004555,0.004555
57,7724.16,0.76392,1.63355,1.04826,0.62685,0.49658,0.58897,0.51958,0.58688,1.29804,0.93723,0.004456,0.004456,0.004456
58,7858.65,0.75745,1.60209,1.04678,0.67186,0.47894,0.5914,0.5212,0.58607,1.28928,0.93684,0.004357,0.004357,0.004357
59,7993.34,0.75545,1.57946,1.04655,0.66374,0.49126,0.59389,0.52306,0.58547,1.28132,0.93668,0.004258,0.004258,0.004258
60,8127.46,0.74654,1.58037,1.04415,0.62773,0.51895,0.60117,0.52916,0.5848,1.27272,0.93649,0.004159,0.004159,0.004159
61,8261.38,0.74841,1.58006,1.04459,0.64171,0.5201,0.60322,0.53097,0.58242,1.26342,0.93491,0.00406,0.00406,0.00406
62,8395.61,0.74529,1.55041,1.0425,0.62099,0.53708,0.60743,0.53633,0.58185,1.25654,0.93498,0.003961,0.003961,0.003961
63,8529.33,0.74198,1.53791,1.03791,0.62429,0.53656,0.6088,0.53678,0.58157,1.24932,0.93458,0.003862,0.003862,0.003862
64,8663.39,0.73596,1.50461,1.03563,0.61713,0.54379,0.61067,0.53837,0.58119,1.24548,0.93463,0.003763,0.003763,0.003763
65,8797.45,0.74206,1.50612,1.04128,0.6187,0.54671,0.612,0.53896,0.58003,1.24098,0.93411,0.003664,0.003664,0.003664
66,8932.27,0.73284,1.49113,1.03593,0.62179,0.55082,0.61497,0.54193,0.57949,1.23786,0.9338,0.003565,0.003565,0.003565
67,9065.94,0.73429,1.48992,1.03949,0.63524,0.54763,0.62057,0.54589,0.57911,1.23418,0.93365,0.003466,0.003466,0.003466
68,9200.4,0.72068,1.45689,1.03079,0.62032,0.56162,0.62189,0.54735,0.57851,1.2291,0.93323,0.003367,0.003367,0.003367
69,9334.21,0.7288,1.45884,1.03464,0.61901,0.56749,0.62266,0.54811,0.57844,1.22611,0.93309,0.003268,0.003268,0.003268
70,9468.63,0.72037,1.43204,1.03024,0.62556,0.56622,0.62646,0.55138,0.57727,1.22123,0.93233,0.003169,0.003169,0.003169
71,9603.24,0.72047,1.43498,1.03006,0.61597,0.57817,0.62816,0.55321,0.5764,1.21686,0.93165,0.00307,0.00307,0.00307
72,9737.22,0.71151,1.41332,1.02548,0.6174,0.57886,0.62985,0.5549,0.5757,1.21257,0.93086,0.002971,0.002971,0.002971
73,9871.59,0.71747,1.38815,1.02703,0.62541,0.58208,0.63328,0.55863,0.57465,1.2078,0.93014,0.002872,0.002872,0.002872
74,10005.7,0.71354,1.37625,1.02441,0.61471,0.58779,0.63602,0.56059,0.57398,1.20365,0.92943,0.002773,0.002773,0.002773
75,10139.8,0.70166,1.35401,1.02088,0.61623,0.5875,0.63749,0.56155,0.57314,1.19986,0.92883,0.002674,0.002674,0.002674
76,10274.2,0.7066,1.36967,1.02346,0.63504,0.58029,0.64055,0.56413,0.57319,1.19687,0.92879,0.002575,0.002575,0.002575
77,10408.4,0.69901,1.33284,1.0172,0.64815,0.574,0.64401,0.56677,0.5725,1.19402,0.92849,0.002476,0.002476,0.002476
78,10542.5,0.69824,1.32459,1.01739,0.66025,0.57359,0.64539,0.56907,0.57206,1.19243,0.92815,0.002377,0.002377,0.002377
79,10677.2,0.69506,1.31788,1.01865,0.65574,0.57729,0.64776,0.57087,0.57159,1.18965,0.92774,0.002278,0.002278,0.002278
80,10811.8,0.6911,1.29185,1.01529,0.66193,0.57438,0.64844,0.57139,0.57093,1.18745,0.92727,0.002179,0.002179,0.002179
81,10946.5,0.68559,1.27785,1.01487,0.66316,0.57418,0.64997,0.57287,0.57053,1.18504,0.92672,0.00208,0.00208,0.00208
82,11081,0.68814,1.27193,1.01359,0.66202,0.57606,0.65022,0.57356,0.57067,1.18295,0.927,0.001981,0.001981,0.001981
83,11215.2,0.67815,1.2648,1.00916,0.66116,0.57704,0.65058,0.57335,0.57003,1.18066,0.92659,0.001882,0.001882,0.001882
84,11349.5,0.68126,1.25185,1.01291,0.66253,0.57343,0.65065,0.57342,0.56971,1.17838,0.92641,0.001783,0.001783,0.001783
85,11484,0.67464,1.23136,1.00877,0.66586,0.57765,0.65214,0.5751,0.56958,1.17734,0.92626,0.001684,0.001684,0.001684
86,11618.9,0.66503,1.20673,1.00337,0.66668,0.57782,0.65295,0.57566,0.56922,1.17631,0.92603,0.001585,0.001585,0.001585
87,11753.4,0.66947,1.21406,1.00535,0.67073,0.57743,0.65366,0.57593,0.5686,1.17471,0.92582,0.001486,0.001486,0.001486
88,11887.7,0.66332,1.19996,1.00598,0.68451,0.57891,0.65479,0.57669,0.5683,1.17308,0.92552,0.001387,0.001387,0.001387
89,12022.4,0.66361,1.18333,1.00474,0.68726,0.57774,0.6554,0.57727,0.56767,1.17137,0.92519,0.001288,0.001288,0.001288
90,12156.8,0.65752,1.17607,0.9997,0.69959,0.5709,0.65598,0.57779,0.56716,1.16971,0.9249,0.001189,0.001189,0.001189
91,12317.4,0.54417,0.82778,0.93066,0.69508,0.57207,0.65679,0.57813,0.56619,1.16691,0.92441,0.00109,0.00109,0.00109
92,12449,0.53218,0.79225,0.92087,0.69574,0.57341,0.65752,0.57902,0.56502,1.16485,0.92406,0.000991,0.000991,0.000991
93,12581.5,0.52615,0.77005,0.91734,0.69603,0.57471,0.65792,0.58,0.56421,1.16323,0.92372,0.000892,0.000892,0.000892
94,12713.6,0.51913,0.75112,0.91442,0.69548,0.57959,0.65866,0.5807,0.56341,1.1612,0.92347,0.000793,0.000793,0.000793
95,12845.5,0.51573,0.73537,0.91388,0.69981,0.57829,0.65979,0.58126,0.56252,1.15952,0.92318,0.000694,0.000694,0.000694
96,12976.9,0.51237,0.71374,0.9106,0.69939,0.58073,0.6603,0.58153,0.56173,1.15747,0.92291,0.000595,0.000595,0.000595
97,13109.2,0.50606,0.70135,0.90662,0.70232,0.58049,0.66065,0.58215,0.56112,1.15555,0.9229,0.000496,0.000496,0.000496
98,13241.4,0.50611,0.69884,0.90802,0.7069,0.57794,0.6612,0.5828,0.56066,1.15431,0.92275,0.000397,0.000397,0.000397
99,13372.6,0.49936,0.67577,0.90309,0.70649,0.57855,0.66189,0.58314,0.55979,1.15245,0.92243,0.000298,0.000298,0.000298
100,13504.4,0.49339,0.67647,0.90061,0.70992,0.57893,0.66236,0.58336,0.55929,1.15146,0.92228,0.000199,0.000199,0.000199
